Airline,Date,Source_Airport,Destination_Airport,Route,Departure_Time,Arrival_Time,Duration,Stops_Number,Price
Wizz Air,5/9/2022,TLV,FCO,,11:25,14:10,3h 45m,nonstop,290
Wizz Air,5/9/2022,TLV,FCO,,11:25,14:10,3h 45m,nonstop,233
EL AL,5/9/2022,TLV,FCO,,18:00,20:40,3h 40m,nonstop,452
Arkia,5/9/2022,TLV,FCO,,8:25,11:05,3h 40m,nonstop,547
ITA Airways,5/9/2022,TLV,FCO,,15:15,18:00,3h 45m,nonstop,816
Wizz Air,5/9/2022,TLV,NAP,SOF,9:40,14:55,6h 15m,1 stop,430
Aegean Airlines,5/9/2022,TLV,FCO,ATH,5:10,9:35,5h 25m,1 stop,740
Aegean Airlines,5/9/2022,TLV,NAP,ATH,5:10,8:55,4h 45m,1 stop,819
Ryanair,5/9/2022,TLV,VCE,VIE,12:00,20:35,9h 35m,1 stop,592
Wizz Air,5/9/2022,TLV,FCO,WAW,11:30,20:10,9h 40m,1 stop,626
easyJet,5/9/2022,TLV,FCO,GVA,13:05,20:20,8h 15m,1 stop,743
LOT,5/9/2022,TLV,VCE,WAW,5:05,11:20,7h 15m,1 stop,812
ITA Airways,5/9/2022,TLV,NAP,FCO,15:15,22:35,8h 20m,1 stop,816
ITA Airways,5/9/2022,TLV,VCE,FCO,15:15,22:50,8h 35m,1 stop,816
ITA Airways,5/9/2022,TLV,NAP,"FCO, LIN",15:15,22:50,8h 35m,2 stops,899
Ryanair,5/9/2022,TLV,NAP,VIE,12:00,19:00,8h 00m,1 stop,998
Ryanair,5/9/2022,TLV,FCO,VIE,12:00,19:25,8h 25m,1 stop,"1,006"
Pegasus Airlines,5/9/2022,TLV,FCO,SAW,6:55,13:45,7h 50m,1 stop,"1,011"
Pegasus Airlines,5/9/2022,TLV,FCO,SAW,5:10,13:45,9h 35m,1 stop,"1,011"
Turkish Airlines,5/9/2022,TLV,VCE,IST,0:50,8:30,8h 40m,1 stop,"1,240"
EL AL,5/9/2022,TLV,VCE,FCO,18:00,22:50,5h 50m,1 stop,"1,254"
Brussels Airlines,5/9/2022,TLV,VCE,BRU,16:05,22:50,7h 45m,1 stop,"1,362"
Turkish Airlines,5/9/2022,TLV,NAP,IST,0:50,8:50,9h 00m,1 stop,"1,366"
Air France,5/9/2022,TLV,VCE,CDG,16:30,22:55,7h 25m,1 stop,"1,378"
Turkish Airlines,5/9/2022,TLV,FCO,IST,4:50,10:00,6h 10m,1 stop,"1,396"
EL AL,5/9/2022,TLV,FCO,,6:05,8:45,3h 40m,nonstop,"1,505"
Austrian Airlines,5/9/2022,TLV,FCO,VIE,15:35,20:45,6h 10m,1 stop,"1,517"
Austrian Airlines,5/9/2022,TLV,VCE,VIE,15:35,21:35,7h 00m,1 stop,"1,517"
Lufthansa,5/9/2022,TLV,VCE,MUC,7:15,12:50,6h 35m,1 stop,"1,538"
Lufthansa,5/9/2022,TLV,VCE,MUC,17:10,22:55,6h 45m,1 stop,"1,538"
Lufthansa,5/9/2022,TLV,VCE,FRA,8:00,13:55,6h 55m,1 stop,"1,561"
Lufthansa,5/9/2022,TLV,NAP,MUC,17:10,22:35,6h 25m,1 stop,"1,613"
Lufthansa,5/9/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,639"
EL AL,5/9/2022,TLV,NAP,FCO,18:00,22:35,5h 35m,1 stop,"1,784"
Ryanair,5/9/2022,TLV,NAP,BGY,13:10,21:35,9h 25m,1 stop,"1,403"
easyJet,5/9/2022,TLV,NAP,MXP,12:55,21:10,9h 15m,1 stop,"1,462"
Lufthansa,5/9/2022,TLV,FCO,MUC,7:15,14:55,8h 40m,1 stop,"1,536"
Lufthansa,5/9/2022,TLV,VCE,"FRA, MUC",4:50,12:50,9h 00m,2 stops,"1,632"
Lufthansa,5/9/2022,TLV,VCE,"FRA, MUC",8:00,16:20,9h 20m,2 stops,"1,632"
Turkish Airlines,5/9/2022,TLV,VCE,IST,10:30,19:10,9h 40m,1 stop,"1,824"
Turkish Airlines,5/9/2022,TLV,FCO,IST,10:30,18:45,9h 15m,1 stop,"2,018"
Austrian Airlines,5/9/2022,TLV,NAP,VIE,6:15,14:05,8h 50m,1 stop,"2,089"
Iberia,5/9/2022,TLV,FCO,MAD,5:30,14:00,9h 30m,1 stop,"2,123"
Brussels Airlines,5/9/2022,TLV,NAP,MUC,17:10,22:35,6h 25m,1 stop,"2,180"
KLM,5/9/2022,TLV,FCO,AMS,4:45,11:50,8h 05m,1 stop,"2,388"
Brussels Airlines,5/9/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"2,588"
Lufthansa,5/9/2022,TLV,NAP,"FRA, MUC",8:00,16:45,9h 45m,2 stops,"3,307"
Arkia,6/6/2022,TLV,FCO,,7:25,10:05,3h 40m,nonstop,530
LOT,6/6/2022,TLV,VCE,WAW,5:05,11:20,7h 15m,1 stop,599
Pegasus Airlines,6/6/2022,TLV,FCO,SAW,6:55,13:45,7h 50m,1 stop,654
Aegean Airlines,6/6/2022,TLV,FCO,ATH,5:10,9:35,5h 25m,1 stop,657
Aegean Airlines,6/6/2022,TLV,NAP,ATH,5:10,8:55,4h 45m,1 stop,697
ITA Airways,6/6/2022,TLV,FCO,,5:15,8:00,3h 45m,nonstop,705
ITA Airways,6/6/2022,TLV,VCE,FCO,5:15,10:30,6h 15m,1 stop,723
ITA Airways,6/6/2022,TLV,NAP,"FCO, LIN",5:15,12:35,8h 20m,2 stops,781
Pegasus Airlines,6/6/2022,TLV,FCO,SAW,6:55,13:45,7h 50m,1 stop,787
Pegasus Airlines,6/6/2022,TLV,FCO,SAW,5:10,13:45,9h 35m,1 stop,872
Pegasus Airlines,6/6/2022,TLV,FCO,SAW,5:10,13:45,9h 35m,1 stop,"1,028"
ITA Airways,6/6/2022,TLV,NAP,FCO,15:15,22:45,8h 30m,1 stop,"1,030"
ITA Airways,6/6/2022,TLV,VCE,FCO,15:15,22:50,8h 35m,1 stop,"1,030"
Pegasus Airlines,6/6/2022,TLV,FCO,"AYT, SAW",6:00,13:45,8h 45m,2 stops,"1,048"
ITA Airways,6/6/2022,TLV,FCO,,15:15,18:00,3h 45m,nonstop,"1,052"
Turkish Airlines,6/6/2022,TLV,NAP,IST,0:50,8:50,9h 00m,1 stop,"1,169"
Turkish Airlines,6/6/2022,TLV,VCE,IST,0:50,8:30,8h 40m,1 stop,"1,273"
Brussels Airlines,6/6/2022,TLV,VCE,BRU,16:05,22:50,7h 45m,1 stop,"1,316"
Brussels Airlines,6/6/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,479"
EL AL,6/6/2022,TLV,FCO,,6:05,8:45,3h 40m,nonstop,"1,505"
Austrian Airlines,6/6/2022,TLV,FCO,VIE,15:35,20:45,6h 10m,1 stop,"1,545"
Austrian Airlines,6/6/2022,TLV,VCE,VIE,15:35,21:35,7h 00m,1 stop,"1,545"
Austrian Airlines,6/6/2022,TLV,VCE,VIE,6:15,14:10,8h 55m,1 stop,"1,545"
Lufthansa,6/6/2022,TLV,VCE,MUC,17:10,22:55,6h 45m,1 stop,"1,547"
Lufthansa,6/6/2022,TLV,FCO,FRA,16:30,23:25,7h 55m,1 stop,"1,574"
Iberia,6/6/2022,TLV,FCO,MAD,5:30,14:00,9h 30m,1 stop,"1,584"
Austrian Airlines,6/6/2022,TLV,NAP,VIE,6:15,14:05,8h 50m,1 stop,"1,623"
