Airline,Source_Airport,Destination_Airport,Route,Stops_Number,Price,Day,Month,Dep_hour,Arr_hour,Sum_Duration
46,3,27,97.0,1,400,9,5,9,14,6.25
2,3,18,5.0,1,700,9,5,5,9,5.42
2,3,27,5.0,1,800,9,5,5,8,4.75
32,3,36,37.0,1,600,9,5,12,20,9.58
46,3,18,104.0,1,600,9,5,11,20,9.67
48,3,18,20.0,1,700,9,5,13,20,8.25
25,3,36,104.0,1,800,9,5,5,11,7.25
22,3,27,18.0,1,800,9,5,15,22,8.33
22,3,36,18.0,1,800,9,5,15,22,8.58
22,3,27,53.0,2,900,9,5,15,22,8.58
32,3,27,37.0,1,1000,9,5,12,19,8.0
32,3,18,37.0,1,1000,9,5,12,19,8.42
29,3,18,94.0,1,1000,9,5,6,13,7.83
29,3,18,94.0,1,1000,9,5,5,13,9.58
42,3,36,68.0,1,1200,9,5,0,8,8.67
15,3,36,18.0,1,1300,9,5,18,22,5.83
12,3,36,9.0,1,1400,9,5,16,22,7.75
42,3,27,68.0,1,1400,9,5,0,8,9.0
5,3,36,11.0,1,1400,9,5,16,22,7.42
42,3,18,68.0,1,1400,9,5,4,10,6.17
9,3,18,37.0,1,1500,9,5,15,20,6.17
9,3,36,37.0,1,1500,9,5,15,21,7.0
27,3,36,26.0,1,1500,9,5,7,12,6.58
27,3,36,26.0,1,1500,9,5,17,22,6.75
27,3,36,19.0,1,1600,9,5,8,13,6.92
27,3,27,26.0,1,1600,9,5,17,22,6.42
27,3,27,19.0,1,1600,9,5,16,22,7.42
15,3,27,18.0,1,1800,9,5,18,22,5.58
32,3,27,38.0,1,1400,9,5,13,21,9.42
48,3,27,86.0,1,1500,9,5,12,21,9.25
27,3,18,26.0,1,1500,9,5,7,14,8.67
27,3,36,59.0,2,1600,9,5,4,12,9.0
27,3,36,59.0,2,1600,9,5,8,16,9.33
42,3,36,68.0,1,1800,9,5,10,19,9.67
42,3,18,68.0,1,2000,9,5,10,18,9.25
9,3,27,37.0,1,2100,9,5,6,14,8.83
23,3,18,24.0,1,2100,9,5,5,14,9.5
12,3,27,26.0,1,2200,9,5,17,22,6.42
24,3,18,4.0,1,2400,9,5,4,11,8.08
12,3,27,19.0,1,2600,9,5,16,22,7.42
27,3,27,59.0,2,3300,9,5,8,16,9.75
25,3,36,104.0,1,600,6,6,5,11,7.25
29,3,18,94.0,1,700,6,6,6,13,7.83
2,3,18,5.0,1,700,6,6,5,9,5.42
2,3,27,5.0,1,700,6,6,5,8,4.75
22,3,36,18.0,1,700,6,6,5,10,6.25
22,3,27,53.0,2,800,6,6,5,12,8.33
29,3,18,94.0,1,800,6,6,6,13,7.83
29,3,18,94.0,1,900,6,6,5,13,9.58
29,3,18,94.0,1,1000,6,6,5,13,9.58
22,3,27,18.0,1,1000,6,6,15,22,8.5
22,3,36,18.0,1,1000,6,6,15,22,8.58
29,3,18,36.0,2,1000,6,6,6,13,8.75
42,3,27,68.0,1,1200,6,6,0,8,9.0
42,3,36,68.0,1,1300,6,6,0,8,8.67
12,3,36,9.0,1,1300,6,6,16,22,7.75
12,3,27,19.0,1,1500,6,6,16,22,7.42
9,3,18,37.0,1,1500,6,6,15,20,6.17
9,3,36,37.0,1,1500,6,6,15,21,7.0
9,3,36,37.0,1,1500,6,6,6,14,8.92
27,3,36,26.0,1,1500,6,6,17,22,6.75
27,3,18,19.0,1,1600,6,6,16,23,7.92
23,3,18,24.0,1,1600,6,6,5,14,9.5
9,3,27,37.0,1,1600,6,6,6,14,8.83
27,3,27,26.0,1,1600,6,6,17,22,6.42
42,3,18,68.0,1,1600,6,6,4,10,6.17
27,3,27,19.0,1,1700,6,6,16,22,7.42
12,3,27,26.0,1,1800,6,6,17,22,6.42
45,3,18,6.0,1,1900,6,6,5,14,9.83
23,3,18,24.0,1,2000,6,6,5,14,9.5
12,3,27,19.0,1,2200,6,6,4,12,8.25
45,3,18,6.0,1,2300,6,6,5,14,9.83
24,3,18,4.0,1,2400,6,6,4,11,8.08
27,3,27,19.0,1,2500,6,6,4,12,8.25
27,3,27,59.0,2,3300,6,6,8,16,9.75
9,3,36,37.0,1,1400,6,6,15,21,7.0
27,3,27,19.0,1,1400,6,6,16,22,7.42
27,3,18,19.0,1,1400,6,6,16,23,7.92
32,3,27,38.0,1,1500,6,6,13,21,9.42
27,3,27,26.0,1,1500,6,6,17,22,6.42
9,3,27,37.0,1,1600,6,6,6,14,8.83
27,3,27,19.0,1,1600,6,6,16,22,7.42
45,3,18,6.0,1,1600,6,6,5,14,9.83
27,3,27,26.0,1,1700,6,6,17,22,6.42
23,3,18,24.0,1,1700,6,6,5,14,9.5
46,3,27,97.0,1,300,6,6,9,14,5.42
2,3,18,5.0,1,600,6,6,5,9,5.42
32,3,36,37.0,1,500,6,6,12,20,9.58
32,3,18,37.0,1,500,6,6,12,19,8.42
46,3,18,104.0,1,600,6,6,11,20,9.67
32,3,27,37.0,1,700,6,6,12,19,8.0
48,3,18,20.0,1,900,6,6,13,20,8.25
9,3,18,37.0,1,1300,6,6,15,20,6.17
42,3,36,68.0,1,1200,6,6,0,8,8.67
48,3,27,86.0,1,1300,6,6,12,21,9.25
23,3,18,24.0,1,1300,6,6,5,14,9.5
27,3,36,26.0,1,1400,6,6,17,22,6.75
9,3,36,37.0,1,1400,6,6,6,14,8.92
15,3,27,18.0,1,1900,6,6,6,14,9.67
24,3,18,4.0,1,2400,6,6,4,11,8.08
27,3,27,19.0,1,2400,6,6,4,12,8.25
27,3,27,59.0,2,3300,6,6,8,16,9.75
46,3,35,49.0,1,200,7,6,10,16,6.58
46,3,27,87.0,1,300,7,6,9,14,6.25
32,3,18,40.0,1,300,7,6,20,1,5.5
2,3,18,5.0,1,500,7,6,5,9,5.42
22,3,36,18.0,1,600,7,6,15,22,8.58
22,3,27,18.0,1,600,7,6,15,22,8.5
25,3,36,104.0,1,600,7,6,5,11,7.25
2,3,18,5.0,1,600,7,6,10,17,8.42
31,3,18,26.0,1,600,7,6,8,14,7.17
22,3,27,53.0,2,600,7,6,15,22,8.67
29,3,18,94.0,1,700,7,6,6,13,7.83
48,3,36,28.0,1,700,7,6,12,18,6.75
48,3,18,20.0,1,700,7,6,13,20,8.17
48,3,36,7.0,1,800,7,6,14,22,9.75
45,3,18,6.0,1,800,7,6,5,13,9.58
22,3,36,18.0,1,800,7,6,5,10,6.25
29,3,18,94.0,1,800,7,6,6,13,7.83
29,3,18,94.0,1,900,7,6,5,13,9.58
